station_name,amphoe,tambon,station_id,station_type,cand_number,candidate_name,party_name,color_hex,score
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 7,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 7,election_day,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,25
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 7,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 7,election_day,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,4
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 7,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 7,election_day,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,2
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 7,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 7,election_day,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,2
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 8,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 8,election_day,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,4
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 8,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 8,election_day,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,247
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 8,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 8,election_day,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,16
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 8,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 8,election_day,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,4
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 8,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 8,election_day,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,1
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 8,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 8,election_day,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,0
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 9,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 9,election_day,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,4
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 9,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 9,election_day,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,181
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 9,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 9,election_day,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,14
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 9,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 9,election_day,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,1
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 9,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 9,election_day,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,0
election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 9,อำเภอทุ่งศรีอุดม,ตำบลกุดเรือ,หน่วยที่ 9,election_day,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,0
election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 1,อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,หน่วยที่ 1,election_day,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,0
election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 1,อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,หน่วยที่ 1,election_day,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,131
election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 1,อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,หน่วยที่ 1,election_day,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,27
election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 1,อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,หน่วยที่ 1,election_day,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,1
election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 1,อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,หน่วยที่ 1,election_day,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,4
election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 1,อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,หน่วยที่ 1,election_day,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,6
election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 10,อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,หน่วยที่ 10,election_day,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,3
election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 10,อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,หน่วยที่ 10,election_day,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,95
election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 10,อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,หน่วยที่ 10,election_day,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,16
election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 10,อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,หน่วยที่ 10,election_day,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,0
