station_name,amphoe,tambon,station_id,station_type,party_number,party_name,score
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,33,ประชาชาติ,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,34,สร้างอนาคตไทย,5
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,35,รักชาติ,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,36,ไทยพร้อม,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,37,ภูมิใจไทย,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,38,พลังธรรมใหม่,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,39,กรีน,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,40,ไทยธรรม,2
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,41,แผ่นดินธรรม,0
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,42,กล้าธรรม,3
election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,ล่วงหน้านอกเขต,ล่วงหน้านอกเขต,ส.ส.5-17 (บช) ชุดที่ 2,advance_out,43,พลังประชารัฐ,0
